repeat,frozen_manifest_sha256,case_index,instance,num_logical_qubits,num_physical_qubits,topology,routing_cx_count,smpr_wall_ms,smpr_peak_rss_bytes,smpr_swap,smpr_depth,smpr_branch,smpr_label,smpr_attempts,internal_lightsabre_swap,internal_lightsabre_depth,internal_lightsabre_budget_ms,independent_rollout_swap,independent_rollout_depth,cross_layout_attempts,variant,routing_trace_valid,topology_valid,safe_quality_floor,budget_multiplier,lightsabre_elapsed_ms,lightsabre_trials,lightsabre_swap,lightsabre_depth,lightsabre_best_seed,lightsabre_peak_rss_bytes,swap_gap_smpr_minus_lightsabre
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,6,v7_qasmbench_bv_n19_heavy_hex_d3,19,19,heavy_hex_d3,18,789.5988000091165,54706176,14,64,lightsabre,lightsabre:seed12,26,14,64,139.07960010692477,41,79,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,792.7935000043362,106,14,64,12,54845440,0
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,6,v7_qasmbench_bv_n19_heavy_hex_d3,19,19,heavy_hex_d3,18,789.5988000091165,54706176,14,64,lightsabre,lightsabre:seed12,26,14,64,139.07960010692477,41,79,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,1580.5059999693185,218,13,60,197,54845440,1
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,7,v7_qasmbench_qram_n20_heavy_hex_d5,20,57,heavy_hex_d5,136,32679.520400008187,67022848,70,298,lightsabre,lightsabre:seed1,26,70,298,406.9502998609096,76,325,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,8177.661199937575,509,66,285,233,57659392,4
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,7,v7_qasmbench_qram_n20_heavy_hex_d5,20,57,heavy_hex_d5,136,32679.520400008187,67022848,70,298,lightsabre,lightsabre:seed1,26,70,298,406.9502998609096,76,325,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,16351.606799988076,1010,62,274,943,57659392,8
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,7,v7_qasmbench_qram_n20_heavy_hex_d5,20,57,heavy_hex_d5,136,32679.520400008187,67022848,70,298,lightsabre,lightsabre:seed1,26,70,298,406.9502998609096,76,325,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,32683.380899950862,2033,62,274,943,57659392,8
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,7,v7_qasmbench_qram_n20_heavy_hex_d5,20,57,heavy_hex_d5,136,32679.520400008187,67022848,70,298,lightsabre,lightsabre:seed1,26,70,298,406.9502998609096,76,325,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,65363.24879992753,3827,62,274,943,57659392,8
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,8,v7_qasmbench_cat_state_n22_heavy_hex_d5,22,57,heavy_hex_d5,21,472.6505000144243,47398912,1,25,independent_rollout,native:early,26,17,70,165.26299994438887,1,25,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,176.15340009797364,20,17,70,9,46936064,-16
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,8,v7_qasmbench_cat_state_n22_heavy_hex_d5,22,57,heavy_hex_d5,21,472.6505000144243,47398912,1,25,independent_rollout,native:early,26,17,70,165.26299994438887,1,25,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,242.7682001143694,28,16,61,20,46936064,-15
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,8,v7_qasmbench_cat_state_n22_heavy_hex_d5,22,57,heavy_hex_d5,21,472.6505000144243,47398912,1,25,independent_rollout,native:early,26,17,70,165.26299994438887,1,25,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,474.1083000553772,52,16,61,20,46936064,-15
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,8,v7_qasmbench_cat_state_n22_heavy_hex_d5,22,57,heavy_hex_d5,21,472.6505000144243,47398912,1,25,independent_rollout,native:early,26,17,70,165.26299994438887,1,25,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,948.4310001134872,112,15,67,53,46936064,-14
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,9,v7_qasmbench_ghz_state_n23_heavy_hex_d5,23,57,heavy_hex_d5,22,646.20219997596,47869952,1,26,independent_rollout,native:early,26,16,56,175.62390014063567,1,26,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,176.88200005795807,20,16,56,12,49446912,-15
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,9,v7_qasmbench_ghz_state_n23_heavy_hex_d5,23,57,heavy_hex_d5,22,646.20219997596,47869952,1,26,independent_rollout,native:early,26,16,56,175.62390014063567,1,26,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,327.0452000433579,36,14,65,20,49446912,-13
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,9,v7_qasmbench_ghz_state_n23_heavy_hex_d5,23,57,heavy_hex_d5,22,646.20219997596,47869952,1,26,independent_rollout,native:early,26,16,56,175.62390014063567,1,26,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,653.5698000807315,73,14,65,20,49446912,-13
1,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,9,v7_qasmbench_ghz_state_n23_heavy_hex_d5,23,57,heavy_hex_d5,22,646.20219997596,47869952,1,26,independent_rollout,native:early,26,16,56,175.62390014063567,1,26,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,1297.9328000219539,150,10,50,138,49446912,-9
